H/W path              Device     Class          Description
===========================================================
                                 system         Computer
/0                               bus            Motherboard
/0/0                             memory         62GiB System memory
/0/1                             processor      Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz
/0/4                             processor      Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz
/0/100                           bridge         Xeon E7 v4/Xeon E5 v4/Xeon E3 v4/Xeon D DMI2
/0/100/1                         bridge         Xeon E7 v4/Xeon E5 v4/Xeon E3 v4/Xeon D PCI Express Root Port 1
/0/100/2                         bridge         Xeon E7 v4/Xeon E5 v4/Xeon E3 v4/Xeon D PCI Express Root Port 2
/0/100/2/0                       bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/2/0/8                     bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/2/0/8/0                   bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/2/0/8/0/8                 bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/2/0/8/0/8/0               display        GK210GL [Tesla K80]
/0/100/2/0/8/0/10                bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/2/0/8/0/10/0              display        GK210GL [Tesla K80]
/0/100/2/0/10                    bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/2/0/10/0                  bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/2/0/10/0/8                bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/2/0/10/0/8/0              display        GK210GL [Tesla K80]
/0/100/2/0/10/0/10               bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/2/0/10/0/10/0             display        GK210GL [Tesla K80]
/0/100/3                         bridge         Xeon E7 v4/Xeon E5 v4/Xeon E3 v4/Xeon D PCI Express Root Port 3
/0/100/3/0                       bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/3/0/8                     bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/3/0/8/0                   bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/3/0/8/0/8                 bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/3/0/8/0/8/0               display        GK210GL [Tesla K80]
/0/100/3/0/8/0/10                bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/3/0/8/0/10/0              display        GK210GL [Tesla K80]
/0/100/3/0/10                    bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/3/0/10/0                  bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/3/0/10/0/8                bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/3/0/10/0/8/0              display        GK210GL [Tesla K80]
/0/100/3/0/10/0/10               bridge         PEX 8747 48-Lane, 5-Port PCI Express Gen 3 (8.0 GT/s) Switch
/0/100/3/0/10/0/10/0             display        GK210GL [Tesla K80]
/0/100/5                         generic        Xeon E7 v4/Xeon E5 v4/Xeon E3 v4/Xeon D Map/VTd_Misc/System Management
/0/100/5.1                       generic        Xeon E7 v4/Xeon E5 v4/Xeon E3 v4/Xeon D IIO Hot Plug
/0/100/5.2                       generic        Xeon E7 v4/Xeon E5 v4/Xeon E3 v4/Xeon D IIO RAS/Control Status/Global Errors
/0/100/5.4                       generic        Xeon E7 v4/Xeon E5 v4/Xeon E3 v4/Xeon D I/O APIC
/0/100/11                        generic        C610/X99 series chipset SPSR
/0/100/14                        bus            C610/X99 series chipset USB xHCI Host Controller
/0/100/16                        communication  C610/X99 series chipset MEI Controller #1
/0/100/16.1                      communication  C610/X99 series chipset MEI Controller #2
/0/100/1a                        bus            C610/X99 series chipset USB Enhanced Host Controller #2
/0/100/1c                        bridge         C610/X99 series chipset PCI Express Root Port #1
/0/100/1c.2                      bridge         C610/X99 series chipset PCI Express Root Port #3
/0/100/1c.2/0                    bridge         AST1150 PCI-to-PCI Bridge
